gene	chr	tss
FAM138A	1	36081
FAM138F	1	36081
OR4F5	1	69090
FAM87B	1	817370
LINC00115	1	827522
LINC01128	1	827590
FAM41C	1	876802
SAMD11	1	925740
NOC2L	1	959299
KLHL17	1	960586
PLEKHN1	1	966496
PERM1	1	982117
HES4	1	1000172
ISG15	1	1013466
AGRN	1	1020122
RNF223	1	1074307
C1orf159	1	1116356
LINC01342	1	1137016
TTLL10	1	1179696
TNFRSF18	1	1206709
TNFRSF4	1	1214168
SDF4	1	1232067
B3GALT6	1	1232248
C1QTNF12	1	1246722
UBE2J2	1	1273854
SCNN1D	1	1280435
ACAP3	1	1307889
PUSL1	1	1308579
INTS11	1	1324687
CPTP	1	1324762
TAS1R3	1	1331345
DVL1	1	1349112
MXRA8	1	1358794
AURKAIP1	1	1375438
CCNL2	1	1399338
MRPL20	1	1407313
ANKRD65	1	1421444
TMEM88B	1	1426127
LINC01770	1	1434573
VWA1	1	1435522
ATAD3C	1	1449688
ATAD3B	1	1471754
ATAD3A	1	1512142
TMEM240	1	1540360
SSU72	1	1574882
FNDC10	1	1600096
MIB2	1	1615414
MMP23B	1	1632180
CDK11B	1	1724420
SLC35E2B	1	1692804
CDK11A	1	1724565
SLC35E2	1	1745999
NADK	1	1778470
GNB1	1	1891117
CALML6	1	1914826
TMEM52	1	1919301
CFAP74	1	2003837
GABRD	1	2019328
PRKCZ	1	2050469
FAAP20	1	2194775
SKI	1	2228694
MORN1	1	2391751
RER1	1	2391774
PEX10	1	2412571
PLCH2	1	2476314
PANK4	1	2526628
HES5	1	2530245
TNFRSF14	1	2556364
FAM213B	1	2586749
MMEL1	1	2633042
ACTRT2	1	3021481
PRDM16	1	3069177
ARHGEF16	1	3454582
MEGF6	1	3611495
TPRG1L	1	3624991
WRAP73	1	3650107
TP73	1	3652564
CCDC27	1	3752400
SMIM1	1	3772786
LRRC47	1	3796504
CEP104	1	3857233
DFFB	1	3857266
C1orf174	1	3900293
LINC01134	1	3900403
LINC01346	1	3940611
LINC01777	1	4412050
AJAP1	1	4655044
NPHP4	1	5992473
KCNAB2	1	6026012
CHD5	1	6180134
RPL22	1	6199619
RNF207	1	6206128
ICMT	1	6235984
LINC00337	1	6236239
HES3	1	6244191
GPR153	1	6260975
ACOT7	1	6393766
HES2	1	6419919
ESPN	1	6424787
TNFRSF25	1	6466195
PLEKHG5	1	6491701
NOL9	1	6554598
TAS1R1	1	6555277
ZBTB48	1	6579990
KLHL21	1	6602898
PHF13	1	6613695
THAP3	1	6625149
DNAJC11	1	6701906
LINC01672	1	6724744
CAMTA1	1	6785323
VAMP3	1	7771268
PER3	1	7784428
UTS2	1	7853044
TNFRSF9	1	7943165
PARK7	1	7961653
ERRFI1	1	8026333
LINC01714	1	8208671
SLC45A1	1	8318084
RERE	1	8817640
ENO1	1	8879092
CA6	1	8945833
SLC2A7	1	9026345
SLC2A5	1	9069828
GPR157	1	9129170
MIR34AHG	1	9182338
LINC01759	1	9182203
H6PD	1	9234803
SPSB1	1	9292881
SLC25A33	1	9539468
TMEM201	1	9588873
PIK3CD	1	9651731
CLSTN1	1	9824526
CTNNBIP1	1	9910258
LZIC	1	9943427
NMNAT1	1	9943427
RBP7	1	9997196
UBE4B	1	10032982
KIF1B	1	10210705
PGD	1	10398991
APITD1-CORT	1	10430101
CENPS	1	10430101
CORT	1	10449718
DFFA	1	10472556
PEX14	1	10474945
CASZ1	1	10796676
C1orf127	1	10982037
TARDBP	1	11012621
MASP2	1	11047239
SRM	1	11060034
EXOSC10	1	11099910
MTOR	1	11262551
ANGPTL7	1	11189288
UBIAD1	1	11273197
DISP3	1	11479237
LINC01647	1	11609530
FBXO2	1	11654831
FBXO44	1	11654856
FBXO6	1	11664092
MAD2L2	1	11681214
DRAXIN	1	11691723
AGTRAP	1	11736084
C1orf167	1	11762192
MTHFR	1	11806103
CLCN6	1	11806095
NPPA	1	11847783
NPPB	1	11858935
KIAA2013	1	11926428
PLOD1	1	11934666
MFN2	1	11980180
MIIP	1	12019241
TNFRSF8	1	12063376
TNFRSF1B	1	12167002
VPS13D	1	12230038
DHRS3	1	12617731
AADACL4	1	12644546
AADACL3	1	12716114
C1orf158	1	12746185
PRAMEF12	1	12774847
PRAMEF1	1	12791396
PRAMEF11	1	12831410
HNRNPCL4	1	12848304
HNRNPCL3	1	12848382
HNRNPCL1	1	12848756
PRAMEF2	1	12857085
PRAMEF4	1	12886201
PRAMEF9	1	12942523
HNRNPCL2	1	13116854
PRAMEF10	1	13303542
PRAMEF33	1	13303542
PRAMEF13	1	13347134
PRAMEF14	1	13347134
PRAMEF19	1	13371947
PRAMEF17	1	13389631
PRAMEF20	1	13410449
LRRC38	1	13513747
PDPN	1	13583756
PRDM2	1	13704854
KAZN	1	14598716
TMEM51	1	15153732
C1orf195	1	15171624
FHAD1	1	15247271
EFHD2	1	15409894
CTRC	1	15438441
CELA2A	1	15456727
CELA2B	1	15476100
CASP9	1	15524445
DNAJC16	1	15526812
AGMAT	1	15585110
DDI2	1	15617457
RSC1A1	1	15659712
PLEKHM2	1	15684302
SLC25A34	1	15736313
TMEM82	1	15742491
FBLIM1	1	15758759
UQCRHL	1	15807699
SPEN	1	15847863
ZBTB17	1	15976132
C1orf64	1	16004235
HSPB7	1	16018790
CLCNKA	1	16021990
CLCNKB	1	16043735
FAM131C	1	16073632
EPHA2	1	16156109
ARHGEF19	1	16212671
RSG1	1	16237164
FBXO42	1	16352491
SZRD1	1	16367029
SPATA21	1	16437424
NECAP2	1	16440671
LINC01783	1	16535652
FAM231B	1	16538723
NBPF1	1	16613605
CROCC	1	16921949
MFAP2	1	16980678
ATP13A2	1	17011972
SDHB	1	17054170
PADI2	1	17119453
PADI1	1	17205125
PADI3	1	17249097
PADI4	1	17308194
PADI6	1	17372195
RCC2	1	17439754
ARHGEF10L	1	17539834
ACTL8	1	17755312
LINC01654	1	18065656
IGSF21	1	18107745
KLHDC7A	1	18480929
PAX7	1	18631005
TAS1R2	1	18859661
ALDH4A1	1	18902799
IFFO2	1	18956332
UBR4	1	19210252
EMC1	1	19251559
MRTO4	1	19251580
AKR7A3	1	19288786
AKR7A2	1	19312146
PQLC2	1	19312245
CAPZB	1	19485641
MINOS1-NBL1	1	19596976
MINOS1	1	19596976
NBL1	1	19643228
HTR6	1	19665286
TMCO4	1	19800021
RNF186	1	19815278
OTUD3	1	19882394
PLA2G2E	1	19923617
PLA2G2A	1	19980439
PLA2G5	1	20070207
PLA2G2D	1	20119566
PLA2G2F	1	20139329
PLA2G2C	1	20177364
UBXN10-AS1	1	20186486
UBXN10	1	20186077
VWA5B1	1	20290918
LINC01141	1	20428794
CAMK2N1	1	20486235
MUL1	1	20508181
FAM43B	1	20552438
CDA	1	20588950
PINK1	1	20633454
DDOST	1	20661544
KIF17	1	20718017
SH2D5	1	20732640
HP1BP3	1	20786688
EIF4G3	1	21176888
ECE1	1	21290489
NBPF3	1	21440089
ALPL	1	21509357
RAP1GAP	1	21669363
USP48	1	21783195
LDLRAD2	1	21812264
HSPG2	1	21937297
CELA3B	1	21976893
CELA3A	1	22001655
LINC01635	1	22026048
LINC00339	1	22025503
CDC42	1	22052626
WNT4	1	22143026
ZBTB40	1	22451850
EPHA8	1	22563501
C1QA	1	22636505
C1QC	1	22643616
C1QB	1	22652980
EPHB2	1	22710837
LACTBL1	1	22965430
C1orf234	1	23015850
KDM1A	1	23019447
LUZP1	1	23168858
HTR1D	1	23194729
LINC01355	1	23285518
HNRNPR	1	23344364
ZNF436	1	23368386
TCEA3	1	23424779
ASAP3	1	23484257
E2F2	1	23531220
ID3	1	23559794
MDS2	1	23627333
RPL11	1	23691778
ELOA	1	23743365
PITHD1	1	23778385
LYPLA2	1	23791155
GALE	1	23800544
HMGCL	1	23825459
FUCA1	1	23868369
CNR2	1	23913327
PNRC2	1	23959810
SRSF10	1	23980463
MYOM3	1	24112175
IL22RA1	1	24143285
IFNLR1	1	24187275
GRHL3	1	24319321
STPG1	1	24413772
NIPAL3	1	24415749
RCAN3AS	1	24502382
RCAN3	1	24502896
NCMAP	1	24556075
SRRM1	1	24643102
CLIC4	1	24745268
RUNX3	1	24965010
SYF2	1	25232522
RSRP1	1	25247519
RHD	1	25272485
TMEM50A	1	25338297
RHCE	1	25420872
